Biaya Karyawan (IDR),Pengeluaran Listrik (IDR),Pengeluaran Air (IDR),Biaya Kebersihan (IDR),Perawatan Elektronik (IDR),Total Pengeluaran Hotel (IDR),Pendapatan Hotel (IDR)
15263495.4,1945035.654,1070608.096,2233582.162,1893047.612,22405768.92,329103523.6
11602287.41,8261813.921,4399680.599,713978.6575,1017102.595,25994863.18,481864460.2
6830573.523,3511105.548,3171088.645,521329.4283,2058769.525,16092866.67,163507648.6
12427653.65,14589471.64,1071997.209,1017247.811,1394291.912,30500662.22,81962446.1
5515827.817,2586249.066,2423938.349,2930604.699,2611014.031,16067633.96,271599017.4
18639806.03,6650414.033,1223871.321,844811.5662,1633249.347,28992152.3,88459710.33
8881699.724,11330389.79,3651565.5,1422768.906,2316103.395,27602527.31,167805500.5
14937834.27,10863761.99,3914906.605,187058.6546,738840.5191,30642402.04,106690037.4
9675666.141,6918200.917,976084.3412,1251959.836,1490060.866,20311972.1,150859480.8
12801020.32,5851338.351,2777629.337,1756828.045,2958103.591,26144919.64,97765093.77
13200654.19,6566573.3,4165812.752,2864061.376,2521150.724,29318252.34,479257699.7
7772816.833,4699867.684,4712733.687,1598534.53,899852.0059,19683804.74,175353221.1
19543769.42,3874661.142,2810830.4,2475411.246,1194410.124,29899082.33,249753913.7
16626992.35,7762555.766,4776256.506,1686670.163,1324539.522,32177014.31,454375313.4
19092484.12,4759472.585,2910600.367,218276.539,2125913.901,29106747.52,354794714.6
18422410.26,5024463.309,2273857.226,1013523.998,2392486.899,29126741.69,328116866.3
13968499.68,10194584.89,4316914.078,1769093.573,2373816.522,32622908.74,367503435.7
18828113.53,14559522.64,2718422.197,2856722.501,1774685.141,40737466.01,422970015.7
6327387.531,9450920.808,2623561.298,2591478.043,2527051.345,23520399.02,444951170.5
7939742.936,2077712.539,2706406.202,762231.2811,1592695.207,15078788.17,339187851.8
5678409.334,2058170.594,4310532.508,738318.5071,809701.4132,13595132.36,450503273.6
9879954.961,14319925.09,4243736.938,683401.6046,1911104.604,31038123.2,290928887.3
10830159.35,5162071.064,2315839.966,2775246.799,2880753.462,23964070.64,174780885.3
9070235.477,2288937.805,1999849.369,2572731.844,2482484.128,18414238.62,446034519
17431062.64,9386624.22,2713676.108,2347161.954,1946751.619,33825276.54,293662772.3
10351299.9,9731082.896,3077476.294,1238931.831,2117014.151,26515805.07,457761914.4
9214017.645,10079067.48,1572517.448,1562704.042,2826405.068,25254711.68,68075516.28
13140441.25,4743628.39,4072797.881,1446562.06,1570856.986,24974286.56,228882088.2
7113863.375,1211549.579,2689172.446,834854.5119,1328485.347,13177925.26,476512258.3
17032954.71,14510215.17,2003204.968,1564581.334,2943103.913,38054060.1,162342541.7
6118259.655,4512502.64,980694.4683,188439.9888,2658607.834,14458504.59,473691310.7
19803304.05,10464368.03,1574803.222,482250.0831,1307608.962,33632334.35,479256107.5
16583671.54,10892818.18,4771765.273,2671109.829,1659451.493,36578816.31,446964041.4
7980735.223,9540103.839,1872948.591,2279871.324,1537695.323,23211354.3,303650620.3
5082831.757,5380703.519,1259866.802,1326318.386,872739.1967,13922459.66,341122752.1
17231921.43,4795347.553,2573027.562,1599736.051,2894548.31,29094580.9,441327649.3
15602860.16,9367355.958,1881894.845,1172996.769,1510781.078,29535888.81,399153687.1
15935107.52,13125338.87,658216.6262,2248261.615,2688322.707,34655247.34,333542232.3
16569055.2,14254272.2,1954153.478,2374142.82,973390.5692,36125014.27,492016733.5
6110669.776,2482681.262,2948488.808,2313527.052,1869677.027,15725043.92,358554486.4
10376985.93,3167600.576,2982705.674,2195574.002,559903.4628,19282769.64,488966896.6
6738035.893,14226307.62,2104515.145,693062.5822,2410551.21,26172472.45,75824813.57
17946551.39,11311493.2,2512862.403,1080112.94,1952284.746,34803304.67,112532166.8
14349471.9,13361913.55,4844830.632,1462551.761,2063973.959,36082741.8,253156480.7
9963470.373,3836856.878,2198068.148,1059299.675,629302.2064,17686997.28,223195757.4
5953375.254,9226202.196,1662020.66,2289326.58,1027595.826,20158520.52,402230678.6
9664734.826,10815954.32,1595601.698,1055125.22,685827.1809,23817243.25,122276311.9
9877749.83,10521566.4,2559940.757,500873.0517,1222285.79,24682415.83,489242830.6
15944092.68,6714123.672,3917840.669,1257217.311,2068597.519,29901871.85,191779643.9
14563362.07,1215528.484,1426946.829,2941751.855,1915464.961,22063054.2,243015668.5
18308191.14,9160964.795,3691832.572,755056.0975,2030374.554,33946419.16,173635264.6
12083223.88,4543421.549,595174.2051,1875260.111,1873128.178,20970207.92,310713627.8
6793913.689,7303559.446,2385198.401,1355621.845,1182571.989,19020865.37,76382915.19
15698671.81,14406134.21,3991392.793,305971.2462,1111268.743,35513438.8,117354877.5
16411775.73,6586494.447,2024298.301,1514842.157,842649.2088,27380059.84,385608966.5
13419157.96,12757222.49,3036816.957,2136276.553,2622677.187,33972151.15,133925262.5
16564507.7,3639568.48,1422406.548,1588337.93,2041198.396,25256019.05,155981503.2
12406933.95,10414446.97,3838979.26,2629107.585,966277.5313,30255745.29,406842006.1
12840992.44,14678097.36,735255.9647,937917.3483,943023.4496,30135286.57,91985530.26
11413115.28,2426503.412,4336441.902,350122.5968,2682589.004,21208772.19,246863220.2
5381286.901,1116479.191,1391883.739,2816040.274,2356827.159,13062517.26,60378524.15
6618371.405,7070159.097,4434791.143,1196769.414,2148497.7,21468588.76,206063329.7
5471437.785,2296756.763,2086381.586,1771576.099,1517160.269,13143312.5,364541631.2
14546156.17,11477380.9,3752076.085,2396809.066,1154938.911,33327361.13,90546475.87
9715339.716,13803681.29,1936513.84,1040509.625,2948626.908,29444671.38,449750582.1
12628560.37,7076293.618,4576602.521,2176877.161,2493098.938,28951432.6,459274569.3
18613497.11,4621962.99,1069867.065,492714.6645,1254448.058,26052489.89,97245668.81
8739383.437,7081646.466,1303339.052,944751.8669,2618911.991,20688032.81,495829596.4
11155743.85,11128269.45,2718635.563,519660.8448,2397329.872,27919639.57,183888299
16333267.08,1126758.262,868722.9757,2452568.619,1242701.375,22024018.31,87845752.01
8431972.482,9252355.853,1381910.831,745682.7822,1566382.136,21378304.08,52280201.52
6154698.647,9586083.588,4746948.72,2180470.311,964883.6135,23633084.88,233835303.1
9346271.794,9927635.457,4894203.475,2835565.352,777631.1109,27781307.19,333414493.6
7418319.309,4388309.12,2193166.982,1630539.406,2306905.082,17937239.9,199480662.5
18945464.79,10996738.13,4654787.095,1666084.658,1168779.643,37431854.31,426522814.5
17121805.69,2279480.809,2951711.041,1436997.347,2550148.414,26340143.3,372472824
14501056.35,3789784.711,1713841.096,1045081.416,2989021.779,24038785.35,207572689.4
18071908.85,13284580.65,3660794.245,1479399.59,691549.5348,37188232.88,380439350
17055081.15,11342124.11,3465058.13,1848141.844,1682587.813,35392993.05,473219481.6
7798550.883,1192437.756,4951063.936,2959375.559,2505156.398,19406584.53,91893199.34
18388384.98,4477267.645,1692712.793,2819517.222,2472377.241,29850259.88,187746782.1
13090133.63,4001690.762,3524267.762,2600243.579,2399992.896,25616328.63,258496672.6
17111602.33,4791288.593,734106.8976,2678478.554,1372487.338,26687963.71,274095557.5
18441369.5,4465836.784,1011407.174,1456762.632,1634633.139,27010009.23,293988040.2
9770052.125,1875368.14,517632.6873,2006588.549,1987420.893,16157062.39,185282107.9
6650778.868,7425167.232,4997573.065,2695693.497,2934851.459,24704064.12,350266840.7
8419027.438,11258268.65,4110231.637,1239557.218,1318868.177,26345953.12,340288026.6
11406616.83,9494244.146,4040253.566,2889111.187,2807859.719,30638085.45,310019677.8
17270221.49,10420203.36,2793767.339,1305779.58,1173392.295,32963364.06,101192774.8
17910958.75,2136088.5,1850301.873,1843139.73,2972686.164,26713175.01,264635551
5104281.958,14320869.94,1180689.28,2158433.668,2175659.217,24939934.07,210302099.4
12661209.54,12738885.67,1781036.325,2856716.838,1658778.701,31696627.08,270967311.4
11261165.05,12271264.46,2191870.499,809387.1948,2033476.07,28567163.27,464839896
8331617.157,12521773.27,3903395.436,2263779.837,1181327.923,28201893.62,266239104.4
6797980.51,14057947.11,2928478.05,1610365.2,1185434.644,26580205.52,56291356.33
10064227.57,8619555.526,848676.3195,878815.7078,783886.3596,21195161.48,247476532.1
19143645.56,3803948.25,581130.5403,2352159.835,785125.7443,26666009.93,419291681
9848043.98,9634970.51,960494.8079,1701444.613,1369179.354,23514133.26,401027415.4
12781859.33,11400340.91,2347244.212,2016824.08,2407138.695,30953407.22,281025533.1
15545284.38,11330843.51,4699368.127,1036413.099,2019927.919,34631837.03,162396055.8
10454444.04,8300286.338,3368311.165,1495694.46,756461.4008,24375197.4,259289898.3
19576731.24,1958422.071,4108216.549,1890327.328,2630591.312,30164288.5,303665998.7
19436709.42,6195581.138,2598685.675,1274241.361,2003419.067,31508636.67,499942147.2
8776734.437,13890732.52,2127497.374,675280.3656,2902138.942,28372383.64,339880140.6
12458727.59,9182284.737,987801.6772,2888757.428,2175463.669,27693035.1,362419218.5
9513174.647,8536647.206,4441698.6,1583255.866,937937.1593,25012713.48,271154364.6
9272607.416,4763949.201,4024220.131,2228369.074,1684458.406,21973604.23,209520297.9
5553304.21,6158284.879,1256531.439,1292036.861,2121243.994,16381401.38,415828842.6
14143465.01,13534845.25,2805172.537,1129882.116,570661.7526,32184026.66,272719546
12540185.35,10330482.67,2693186.636,1280776.466,537275.6604,27381906.78,497610558.5
5772181.269,12023418.37,3312911.987,1286670.267,823507.5015,23218689.4,255704258.4
9179696.964,7360835.923,4757841.023,1678122.336,1129161.088,24105657.33,80600127.64
18623988.29,9823461.072,3108971.488,1676062.623,1573872.809,34806356.28,357160161.7
8593428.36,4477370.522,2930977.701,1541746.066,1718601.184,19262123.83,70988652.92
7173423.081,10876451.62,726453.1982,490878.7763,845069.0223,20112275.7,162725718.6
12341791.4,6986418.672,783083.6421,1538618.888,2183478.948,23833391.55,209182213.8
19784756.81,7195637.207,1343060.561,590401.3112,1990345.154,30904201.05,382767613.5
8630829.073,10090512.54,646118.4726,465793.7803,1236160.247,21069414.12,272406166.9
15082033.21,14107928.7,3845088.03,2804672.58,534149.7086,36373872.23,62890669.09
16424294.23,1896088.853,3754986.368,1854355.038,694119.7884,24623844.28,327582433.1
8564563.16,12546405.32,1112253.055,2012521.169,1479236.939,25714979.65,235146306.8
15923245.23,5093363.546,4262355.054,1265201.644,884935.8779,27429101.35,464825529.5
10516746.99,7214872.363,1196537.157,2736044.587,1442049.015,23106250.11,274803040
14484587.46,1306786.603,1855290.141,1949998.42,2070456.511,21667119.13,369038815.7
14502945.66,5214645.09,1620396.046,2330592.622,1868093.57,25536672.99,148490821.5
13036620.26,8036837.397,2175381.944,1168831.16,1077939.708,25495610.47,392438104
6354346.551,1786465.083,1645986.947,2884034.454,1359556.228,14030389.26,374429889.7
17529537.43,7875340.211,2700279.169,2479337.741,2035077.996,32619572.55,456836768.8
9811700.975,13979548.8,2333335.466,2576450.543,2652137.57,31353173.36,65219738.77
7797777.656,2475505.054,4939562.709,599363.3755,2383033.597,18195242.39,251375313.9
5611627.123,11702170.19,751668.5756,885793.3028,1883500.067,20834759.26,355619931.2
13863394.15,6735394.747,1139816.194,928317.1391,1405732.496,24072654.72,92823755.04
15163465.43,10172432,737716.5226,885636.7474,1412628.194,28371878.89,234771830.2
5248817.434,4643312.372,3316285.377,2580683.67,2698543.276,18487642.13,473965971.4
12681395.87,3232891.676,745291.7484,192465.9061,598108.9401,17450154.14,246170520.9
8397436.628,3246476.6,4263978.818,320689.968,2969956.611,19198538.63,493432152.6
14677591.86,1986887.239,2803723.838,894353.1248,2160938.527,22523494.59,75577577.49
7615496.435,3599053.869,2871534.311,679631.6265,2202844.248,16968560.49,373023399.3
15364066.07,10299071.39,3027175.285,772392.8803,594994.5933,30057700.22,311457306.3
10801030.19,13343668.57,1268661.678,2414035.249,2013823.187,29841218.87,275242854.7
19050949.83,12397759.6,1389606.364,1733067.122,1711945.15,36283328.07,486881330.7
7062814.162,10591880.34,1934677.953,116734.9177,764447.2672,20470554.64,108342680.2
10115995.27,2546046.088,3170733.871,1345036.021,1194805.027,18372616.27,453199528.3
6702102.819,5048624.248,1445529.992,1282866.288,2725786.141,17204909.49,361058185
18870404.27,5337296.255,1023492.772,430441.2814,1874971.04,27536605.62,166548233
18160090.3,4499397.25,4865525.989,2060811.187,1533541.438,31119366.16,455751115.5
8869124.416,8210079.236,598918.1666,2136081.846,681705.3896,20495909.05,243182713
14899760.69,8497753.408,4112138.324,2190590.335,2285303.819,31985546.58,416402297.6
17258333,5996403.652,4046158.173,2212565.742,2257127.058,31770587.63,224976432.7
13328012.17,5953048.222,1837463.512,100153.1981,2035109.017,23253786.12,432918872.3
12944758.68,12599778.37,1110319.772,2866370.331,1775656.616,31296883.76,336483103.3
8627784.364,12050099.88,1155328.91,2461205.424,1584461.006,25878879.58,113470985.1
6396541.517,5309141.644,3638442.278,2721546.92,1983177.732,20048850.09,342348423.6
18458236.37,13793038.21,3392629.66,145365.5564,1083488.629,36872758.43,136105143.2
18506270.86,14339410.24,4022355.534,2808190.508,2853147.66,42529374.8,235365182.6
14496521.86,5574395.588,4718665.276,2448386.733,1971986.323,29209955.78,126633012.9
10085446.87,5961949.283,3613673.135,2527935.515,1277981.111,23466985.91,59907252.05
10238143.62,8078878.148,1201331.914,370533.4157,1624199.627,21513086.72,145348942.8
15889335.18,14175691.38,1595491.775,2242456.284,2514211.972,36417186.59,291367410.7
18456653.9,13268472.06,4289871.789,2883758.4,904040.1518,39802796.3,266702435.5
18306296.36,2435951.476,1441877.341,2067787.29,1232089.056,25484001.53,275673693
16698133.19,6498230.406,826350.4263,1754628.073,2198770.057,27976112.15,161459095.3
14630474.69,8747196.656,3664760.243,2842326.065,1288723.016,31173480.67,358322540.3
6262099.475,8043854.616,2311368.6,1384517.653,2481254.205,20483094.55,366918479.1
7424430.711,3714082.951,4640180.236,1837951.342,826133.7179,18442778.96,211085521.5
18478312.83,13023434.8,3426147.82,1481381.051,2406715.426,38815991.92,446526539.8
14096435.89,10477170.96,906885.4001,2805254.042,670879.2871,28956625.59,339810447.5
5137955.774,12730717.25,4765354.553,320645.7076,531481.5317,23486154.81,370867673.9
6522073.143,13022699.91,1663507.686,1553247.132,2745558.797,25507086.67,174802963.1
14952526.54,11476981.95,2017456.207,2092162.08,1953348.042,32492474.82,50275235.82
5075923.758,7148948.417,2310171.862,2396528.961,1379567.243,18311140.24,439419025.4
7412120.771,9547654.57,730509.3338,1790754.078,1081486.592,20562525.35,420090973.1
13231006.84,3245115.686,2734319.4,2735861.458,2042214.458,23988517.84,105436349.6
15378427.97,10431035.84,1054933.21,2831775.196,1772505.459,31468677.67,218347310.7
14779418.89,3509545.58,2304366.47,286525.7473,2978994.439,23858851.13,347602688.8
8364039.642,10715294.27,2078194.046,1266874.565,2958039.967,25382442.49,343449885.7
15682688.32,4214374.251,3977780.375,168031.163,2087561.415,26130435.52,437157650.7
8558736.312,2645718.202,4114267.302,1055308.306,1607176.265,17981206.39,113120672.7
9880995.472,3313982.862,1190357.971,1656917.832,1727852.423,17770106.56,243472886.5
16197371.08,1027889.893,2149480.343,2741305.298,2206197.666,24322244.28,93750988.07
14744493.49,11062354.65,2180089.225,2555007.535,753936.3606,31295881.26,225317861.8
17738351.16,11253614.69,1181346.998,469749.2073,1320880.185,31963942.23,56798350.51
14864193.38,8209066.899,4093040.773,369788.0867,688180.6025,28224269.75,454222879.3
13524629.05,3259079.215,3682527.478,1808875.282,683401.8988,22958512.92,287169798.6
6405121.517,2169760.725,1356718.038,1643142.12,989598.1047,12564340.51,432411017.4
10515737.05,1267805.53,2150248.589,872495.1601,1713133.136,16519419.46,76957115.45
8978035.515,3320474.478,976122.6119,2708413.945,2461935.803,18444982.35,152356149.7
8659844.651,13471977.49,3326929.687,2789362.587,1713739.728,29961854.14,166720997.8
19595158.32,4381515.784,1046173.66,1267573.171,1338691.526,27629112.46,224011172.6
10896465.87,5959798.581,4936703.759,2681877.416,705882.4758,25180728.1,411289867.6
18380698.33,2474836.783,4013069.336,1213451.793,1875738.808,27957795.05,223951043.2
14467079.39,4113058.266,2256073.473,2236768.812,1178171.466,24251151.41,142094088.3
16922169.55,8269143.991,3103537.695,1480232.431,2037335.445,31812419.11,79245617.15
12539556.4,9508537.563,4601038.173,455491.1539,2942969.348,30047592.63,85771286.76
13653558.27,4434932.398,2993446.762,2791009.184,778285.8037,24651232.42,392021242.7
12387765.41,1808250.229,1285243.189,1416880.121,1030313.497,17928452.44,250161346
7928644.817,6474460.168,2204165.1,2230012.417,1682736.345,20520018.85,376781504.9
15836781.73,4278847.193,4294151.893,1164804.062,2921534.538,28496119.41,357029204.8
9211585.437,4073754.925,3398958.572,154754.5479,2429524.441,19268577.92,110913107.8
5364739.496,14438079.24,3428259.73,391538.0402,2745572.983,26368189.49,114299570.4
14682084.44,9628206.803,4400696.686,1539036.491,1334287.121,31584311.54,389903906.9
7656660.191,8796298.204,4522878.759,2100896.636,2980096.184,26056829.97,374570732.1
19106878.77,6820851.449,4639066.573,1070732.447,757082.0402,32394611.27,220113845.1
19308928.66,7005220.668,926821.3696,2116916.532,632432.2651,29990319.49,84840018.5
18722965.85,8572670.054,2948567.009,2126043.209,2639006.568,35009252.69,55444109.76
10552380.5,10750017.3,3832292.845,2141414.131,2818162.176,30094266.95,179670627.3
5231849.248,10830045.35,3906170.803,1528313.377,726463.3939,22222842.17,54150023.11
18924778.44,3403714.708,3230222.909,2753169.835,783568.5669,29095454.46,153532679.5
11422762.22,8001578.529,1250543.008,1518669.902,582935.3944,22776489.06,238775333.1
19499822.29,6767413.33,4088392.493,1405769.061,761268.9066,32522666.08,104637094.4
19454299.66,13187377.53,3740501.001,678204.3751,1023549.542,38083932.1,96924991.02
17795141.83,9839864.897,887610.972,992199.7533,2925191.547,32440009,453396846.1
9416733.381,8455056.93,2587144.211,222770.0283,2169650.556,22851355.11,313461513.1
10776465.93,2615524.991,1282898.298,1937252.351,2446382.564,19058524.13,470505059
17767050.07,9478930.451,2018646.706,820753.6574,2440348.509,32525729.4,205621773.7
9753830.077,2640854.68,581364.9149,982050.238,1837684.374,15795784.28,354715221.8
7542391.2,5720892.058,2301484.408,2335362.113,2493722.444,20393852.22,142111253.6
13352018.94,2999787.507,2974446.145,1048941.431,1989518.831,22364712.85,328253142.8
19042321.61,10689031.06,3288121.668,802368.0868,1286365.244,35108207.67,108313578.5
15440446.95,3887529.594,3485706.553,590267.4725,1902775.272,25306725.84,50936287.63
13550917.55,6486031.225,4263310.909,2347089.366,1833771.465,28481120.52,469189310.6
6457647.407,13539446.89,1469583.083,476148.1482,2558632.634,24501458.16,299702469.3
14225108.4,3860429.368,1042168.201,1415885.905,2954318.043,23497909.92,467123298.3
19850807.75,8109270.895,4331917.274,1570097.337,1527606.414,35389699.67,200224185.7
7101260.229,6869803.256,1204757.667,2093430.747,2408476.696,19677728.59,197503731.1
12774944.79,1253736.575,4886420.366,1936522.099,749407.5101,21601031.33,230294750.8
18160596.08,12098613.59,4291422.032,2451089.952,2442078.424,39443800.08,367718442.8
16111529.27,1966642.688,2753944.727,229779.1584,1428542.28,22490438.12,304613885.4
15455236.11,7639570.294,4916396.412,959678.1019,598475.4072,29569356.33,466409708.2
15537261.26,8849496.129,938195.281,912388.9444,1408115.446,27645457.06,61448405.51
10392367.27,9797970.393,1863795.925,523449.0262,2026606.877,24604189.49,368688172.1
9403877.664,10640842.81,3372009.868,938616.9362,798125.4192,25153472.7,198647460.2
17140417.33,4545813.369,2075030.908,998319.411,2810086.231,27569667.25,131105143.3
17151700.92,1139702.873,4677676.484,1613464.94,694181.0332,25276726.25,279678030.1
18006084.78,11128211.27,795317.3968,2024742.989,2825016.8,34779373.24,277278702.9
18698608.29,8499192.391,2972353.244,1205191.489,2267843.795,33643189.21,111654962.9
12670135.98,12705647.84,3158898.203,2186463.671,1324280.439,32045426.14,140853225.3
12522744.42,12499437.08,3437276.557,1074879.482,1476875.869,31011213.41,233674099.2
16974427.68,12806566.35,1650498.005,941822.6642,2352023.412,34725338.11,233965135.6
14749458.96,7791325.24,2140548.924,1669445.362,2003677.752,28354456.24,192901162.8
15529503.16,5670797.542,4296562.383,168777.4449,2179107.304,27844747.83,116845318.2
16936890.04,12081814.84,1377242.46,331388.4585,1472911.541,32200247.34,51968155.6
18350080.13,7318117.582,4220905.312,1312111.676,1719533.705,32920748.4,486605778.1
10069927.35,3568190.75,3031949.403,2834446.863,2974668.71,22479183.08,474574653.4
10633744.29,12969636.27,3929843.8,2192384.162,1034807.176,30760415.7,267642670.6
6409729.098,13355838.27,3711233.148,355567.0516,1544640.466,25377008.04,497773289
13674202.11,7528336.586,1433801.729,2554322.237,1229557.969,26420220.64,353144448.9
5539134.107,2059796.182,3059657.314,2223672.235,2412778.776,15295038.61,80985891.92
11983970.27,6429565.259,4404754.188,1871744.925,2410031.564,27100066.21,102973189.6
13139669.52,12249527.23,2444523.066,2478849.586,1231113.652,31543683.06,462249879.7
9298118.782,13624836.4,4849658.466,1271918.558,703475.7916,29748008,333523491
13862498.91,3848618.395,2534967.95,742353.0475,528581.6917,21517019.99,429432632
5457503.749,1937630.568,1142535.365,1584867.828,1568626.333,11691163.84,454221342.3
5560222.831,13282906.34,2252456.06,1691641.091,1525843.986,24313070.31,251573905.1
17339008.41,6451669.146,4782660.829,1661146.479,2970974.697,33205459.56,71836678.21
10402859.62,8584653.5,1938743.822,1738713.995,1674505.189,24339476.13,134726157
6905907.69,14552921.37,4406441.719,2851244.263,1141045.924,29857560.96,79957376.29
12833648.9,1931906.191,4465628.068,2716512.307,2728073.603,24675769.07,134932930.6
16549903.3,10076452.1,2075839.359,2639579.406,1727669.874,33069444.04,234739816.9
8237315.412,2037475.916,874659.4612,2424108.752,1997939.088,15571498.63,103188564.7
14343357.14,6256564.999,3760510.591,2835941.511,739171.7761,27935546.01,125029961.5
6280211.975,12253403.63,1901805.346,385634.4609,1457291.018,22278346.43,250619801.9
5775225.818,7068611.259,4023156.264,868857.4582,2860559.186,20596409.98,203076927.7
12970319.47,14960552.95,2491946.817,1535662.242,1973763.46,33932244.95,260446155.9
13109526.82,8826829.989,2683700.341,2554950.03,1361254.638,28536261.82,243127412.5
14561448.52,5496270.137,4000592.33,1564980.563,2064167.952,27687459.5,340015111.7
15891370.01,4081558.563,2220634.99,2269300.744,2776027.724,27238892.03,471735297
19637781.19,5907287.48,2494073.054,502983.7252,1184976.501,29727101.95,98538952.3
12744505.22,6215465.833,2192857.109,832000.0576,1762791.796,23747620.02,94667067.19
9844347.094,1961991.488,2153032.319,2222150.676,2896726.635,19078248.21,433762750
16927792.92,6174038.792,2866759.596,577728.6258,930990.3582,27477310.29,277878517.1
9062483.769,7499339.276,4139597.5,1118932.21,2299159.814,24119512.57,394882260.6
11584571.31,11118328.53,2127957.404,868112.1477,2036202.521,27735171.91,146939856.6
6176845.72,10194212.79,2859146.242,1114598.913,2199187.828,22543991.49,422988157.9
5380261.151,10922719.17,3518272.964,2154139.742,1378049.077,23353442.11,465730980.9
19439726.22,1117091.546,1712477.508,1166756.825,1284698.434,24720750.53,335967357
17539701.81,4047343.594,1748852.622,1710263.636,2210524.176,27256685.84,97645559.66
15439613.09,10263580.04,4700359.072,389802.4435,1038858.213,31832212.86,452882666.4
11134294.17,7775851.155,3755905.58,2434551.31,1549136.862,26649739.07,406619477.3
7599414.801,1074388.659,3097340.043,1172677.014,970436.6151,13914257.13,387894999.4
7346555.64,12262924.99,3414740.245,1980749.061,520762.1028,25525732.04,66527685.01
8753643.472,11819334.03,631847.494,2203629.845,2925143.4,26333598.24,409533136.4
13238399.97,8677868.282,3281463.345,708016.6741,1579257.447,27485005.72,112077954.7
15718938.84,1930486.561,2792789.93,2665557.456,2923374.036,26031146.82,150073779.3
14902960.65,11731210.69,2955873.559,1887050.33,850808.7994,32327904.03,309710675.7
9199008.454,9171990.228,2117407.221,1343302.911,1968416.949,23800125.76,169241347.8
19322979.21,11947439.68,866632.5397,628772.0324,1002435.082,33768258.54,347606692.8
16068453.75,11524457.89,1370026.551,2832672.72,2475185.317,34270796.23,323631701.5
13315310.79,12242029.01,4778351.209,2289697.792,2459257.472,35084646.27,98667319.11
14175811.19,8252112.93,2339148.03,703271.2319,781517.8726,26251861.26,345206560.8
11294000.94,2964543.255,2600074.201,1079361.247,2780161.132,20718140.77,465779709.4
8715964.843,10396204.63,737194.0543,2448055.348,986574.118,23283992.99,122499457.3
